species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Offshore spotted dolphin,8,4,0.3737250344982569,0.12291138299370111,5,11,8
Offshore spotted dolphin,8,5,0.5214110267497284,0.11731988833299735,5,11,8
Offshore spotted dolphin,8,6,0.5364209421314109,0.2455794464111351,5,11,8
Offshore spotted dolphin,8,7,0.3895418647781957,0.16046090146487932,5,11,8
Offshore spotted dolphin,8,8,0.5007658136371597,0.25385557738853803,5,11,8
Offshore spotted dolphin,8,9,0.48450917586809805,0.14042531795098714,5,11,8
Offshore spotted dolphin,16,0,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,1,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,2,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,3,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,4,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,5,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,6,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,7,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,8,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,16,9,0.3811718202107627,0.15307278103036884,5,11,10
Offshore spotted dolphin,all,0,0.3811718202107627,0.15307278103036884,5,11,10
Striped dolphin,1,0,0.6299100317660504,0.18923061033277475,4,9,1
Striped dolphin,1,1,0.6010467340920944,0.12231513766714384,4,9,1
Striped dolphin,1,2,0.8148598798629644,0.2192540372791814,4,9,1
Striped dolphin,1,3,0.6887827184269376,0.2898442537909931,4,9,1
Striped dolphin,1,4,0.4157139921382925,0.36910714740059075,4,9,1
Striped dolphin,1,5,0.6644413109560174,0.33980214845696993,4,9,1
Striped dolphin,1,6,0.5915980885308326,0.16677135944421076,4,9,1
Striped dolphin,1,7,0.6643269905103497,0.0801974841575366,4,9,1
Striped dolphin,1,8,0.7729949652403592,0.22313355569162835,4,9,1
Striped dolphin,1,9,0.5079956847362043,0.280688835074589,4,9,1
Striped dolphin,2,0,0.6546648246262072,0.11991084925490895,4,9,2
Striped dolphin,2,1,0.44034326116089384,0.1417657636864886,4,9,2
Striped dolphin,2,2,0.6139760710008267,0.3798659209488035,4,9,2
Striped dolphin,2,3,0.7729938851015821,0.1928970241356898,4,9,2
Striped dolphin,2,4,0.596610689000417,0.34703752111853325,4,9,2
Striped dolphin,2,5,0.5659362861854249,0.13476761266551138,4,9,2
Striped dolphin,2,6,0.45079651360721,0.04956736711621926,4,9,2
Striped dolphin,2,7,0.7600482001328607,0.22541051366341708,4,9,2
Striped dolphin,2,8,0.6334733019315186,0.1976551770316318,4,9,2
Striped dolphin,2,9,0.6925007857556581,0.21156571378038888,4,9,2
