evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.40190146931719967, 26.620842572062088, 465, 667, 692, 1132]",1.5273616027832033,25.055555555555554,10,1,78.0
eval_at,"[0.40190146931719967, 25.942350332594238, 465, 650, 692, 1115]",1.578353703022004,25.055555555555554,10,1,78.5
eval_at,"[0.40017286084701814, 25.223946784922397, 463, 632, 694, 1095]",1.6293918645381926,25.055555555555554,10,1,79.0
eval_at,"[0.3993085566119274, 24.38580931263858, 462, 611, 695, 1073]",1.6839892327785495,25.055555555555554,10,1,79.5
eval_at,"[0.39844425237683667, 23.62749445676275, 461, 592, 696, 1053]",1.7384140968322765,25.055555555555554,10,1,80.0
eval_at,"[0.3958513396715644, 23.26829268292683, 458, 583, 699, 1041]",1.7926913440227508,25.055555555555554,10,1,80.5
eval_at,"[0.3949870354364736, 22.9490022172949, 457, 575, 700, 1032]",1.8544975364208223,25.055555555555554,10,1,81.0
eval_at,"[0.3923941227312014, 22.310421286031044, 454, 559, 703, 1013]",1.9184101223945609,25.055555555555554,10,1,81.5
eval_at,"[0.3898012100259291, 22.031042128603104, 451, 552, 706, 1003]",1.9791542625427248,25.055555555555554,10,1,82.0
eval_at,"[0.38807260155574763, 21.512195121951223, 449, 539, 708, 988]",2.043534606695175,25.055555555555554,10,1,82.5
eval_at,"[0.38547968885047534, 21.152993348115302, 446, 530, 711, 976]",2.1100210928916923,25.055555555555554,10,1,83.0
eval_at,"[0.3828867761452031, 20.634146341463417, 443, 517, 714, 960]",2.1830591559410095,25.055555555555554,10,1,83.5
eval_at,"[0.3794295592048401, 19.636363636363637, 439, 492, 718, 931]",2.2465249347686767,25.055555555555554,10,1,84.0
eval_at,"[0.37251512532411407, 18.71840354767184, 431, 469, 726, 900]",2.318550746440887,25.055555555555554,10,1,84.5
eval_at,"[0.36646499567847884, 17.84035476718404, 424, 447, 733, 871]",2.398746955394745,25.055555555555554,10,1,85.0
eval_at,"[0.3612791702679343, 17.20177383592018, 418, 431, 739, 849]",2.4825354206562036,25.055555555555554,10,1,85.5
eval_at,"[0.35868625756266204, 16.403547671840357, 415, 411, 742, 826]",2.5654283618927,25.055555555555554,10,1,86.0
eval_at,"[0.3543647363872083, 16.243902439024392, 410, 407, 747, 817]",2.657227467298508,25.055555555555554,10,1,86.5
eval_at,"[0.34572169403630076, 15.325942350332596, 400, 384, 757, 784]",2.7551084899902323,25.055555555555554,10,1,87.0
eval_at,"[0.337942955920484, 14.288248337028826, 391, 358, 766, 749]",2.859756261110306,25.055555555555554,10,1,87.5
eval_at,"[0.33189282627484873, 14.008869179600888, 384, 351, 773, 735]",2.9739487075805675,25.055555555555554,10,1,88.0
eval_at,"[0.3258426966292135, 13.450110864745012, 377, 337, 780, 714]",3.1023676311969752,25.055555555555554,10,1,88.5
eval_at,"[0.3163353500432152, 13.130820399113084, 366, 329, 791, 695]",3.245468626022339,25.055555555555554,10,1,89.0
eval_at,"[0.31028522039757994, 12.33259423503326, 359, 309, 798, 668]",3.4048879361152675,25.055555555555554,10,1,89.5
eval_at,"[0.30423509075194466, 11.813747228381375, 352, 296, 805, 648]",3.5736239671707146,25.055555555555554,10,1,90.0
eval_at,"[0.2929991356957649, 11.015521064301552, 339, 276, 818, 615]",3.752043912410738,25.055555555555554,10,1,90.5
eval_at,"[0.28608470181503887, 10.496674057649669, 331, 263, 826, 594]",3.9684193015098597,25.055555555555554,10,1,91.0
eval_at,"[0.2783059636992221, 9.698447893569845, 322, 243, 835, 565]",4.186852352619171,25.055555555555554,10,1,91.5
eval_at,"[0.2731201382886776, 8.980044345898005, 316, 225, 841, 541]",4.424940795898439,25.055555555555554,10,1,92.0
eval_at,"[0.26707000864304237, 8.501108647450112, 309, 213, 848, 522]",4.7049700975418105,25.055555555555554,10,1,92.5
eval_at,"[0.25237683664649957, 7.74279379157428, 292, 194, 865, 486]",5.00738408088684,25.055555555555554,10,1,93.0
eval_at,"[0.24200518582541056, 7.144124168514413, 280, 179, 877, 459]",5.361359584331517,25.055555555555554,10,1,93.5
eval_at,"[0.22558340535868626, 6.904656319290466, 261, 173, 896, 434]",5.739502353668213,25.055555555555554,10,1,94.0
eval_at,"[0.2065687121866897, 6.3458980044345905, 239, 159, 918, 398]",6.1584266519546516,25.055555555555554,10,1,94.5
eval_at,"[0.19360414866032843, 5.667405764966741, 224, 142, 933, 366]",6.650256681442254,25.055555555555554,10,1,95.0
eval_at,"[0.1780466724286949, 5.188470066518847, 206, 130, 951, 336]",7.226908357143397,25.055555555555554,10,1,95.5
eval_at,"[0.16421780466724287, 4.709534368070954, 190, 118, 967, 308]",7.894068813323975,25.055555555555554,10,1,96.0
eval_at,"[0.14606741573033707, 4.070953436807096, 169, 102, 988, 271]",8.621786789894083,25.055555555555554,10,1,96.5
eval_at,"[0.12964563526361278, 3.6718403547671845, 150, 92, 1007, 242]",9.648010635375952,25.055555555555554,10,1,97.0
eval_at,"[0.11581676750216076, 3.272727272727273, 134, 82, 1023, 216]",11.164498353004458,25.055555555555554,10,1,97.5
eval_at,"[0.09939498703543648, 2.394678492239468, 115, 60, 1042, 175]",13.29675485610954,25.055555555555554,10,1,98.0
eval_at,"[0.07692307692307693, 1.9556541019955656, 89, 49, 1068, 138]",16.661181840896596,25.055555555555554,10,1,98.5
eval_at,"[0.04753673292999136, 1.5166297117516632, 55, 38, 1102, 93]",22.330332088470627,25.055555555555554,10,1,99.0
eval_at,"[0.01901469317199654, 0.9578713968957873, 22, 24, 1135, 46]",32.94925287246687,25.055555555555554,10,1,99.5
